"area_id","item_id","main_type","mid_type","sub_type","price","price_text","item_state","user_name","user_url","delivery_charge_burden","delivery_method","shipment_date_criterion",
"1","m55437154950","メンズ","バッグ","その他","3580","¥ 3,580","新品、未使用","Tida-Light","https://www.mercari.com/jp/u/659081792/","送料込み(出品者負担)","らくらくメルカリ便","1~2日で発送",
"1","m50054722991","ハンドメイド","素材/材料","生地/糸","2500","¥ 2,500","傷や汚れあり","ちょこれいと","https://www.mercari.com/jp/u/269112460/","送料込み(出品者負担)","らくらくメルカリ便","4~7日で発送",
"1","m94254542245","家電・スマホ・カメラ","オーディオ機器","イヤフォン","999","¥ 999","新品、未使用","すみっこのママ","https://www.mercari.com/jp/u/110198189/","送料込み(出品者負担)","未定","2~3日で発送",
"1","m99326235884","レディース","ルームウェア/パジャマ","ルームウェア","1000","¥ 1,000","目立った傷や汚れなし","8co.","https://www.mercari.com/jp/u/857747568/","送料込み(出品者負担)","未定","2~3日で発送",
"1","m58365261184","レディース","トップス","Tシャツ/カットソー(七分/長袖)","400","¥ 400","目立った傷や汚れなし","rico♡翌日発送です","https://www.mercari.com/jp/u/585298099/","送料込み(出品者負担)","ゆうメール","2~3日で発送",
"1","m45412449000","家電・スマホ・カメラ","スマホアクセサリー","イヤホンジャック","300","¥ 300","新品、未使用","まさはる","https://www.mercari.com/jp/u/297102463/","送料込み(出品者負担)","未定","4~7日で発送",
"1","m15287616054","レディース","バッグ","ハンドバッグ","2900","¥ 2,900","やや傷や汚れあり","のん","https://www.mercari.com/jp/u/993234053/","送料込み(出品者負担)","ゆうゆうメルカリ便","4~7日で発送",
"2","m61765852246","エンタメ・ホビー","トレーディングカード","遊戯王","320","¥ 320","目立った傷や汚れなし","佐々木マックス","https://www.mercari.com/jp/u/616577191/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"2","m82207854766","インテリア・住まい・小物","机/テーブル","センターテーブル","6980","¥ 6,980","やや傷や汚れあり","meno","https://www.mercari.com/jp/u/309505168/","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"2","m72284552705","レディース","靴","スニーカー","3333","¥ 3,333","目立った傷や汚れなし","GALmama♡8","https://www.mercari.com/jp/u/819646517/","送料込み(出品者負担)","らくらくメルカリ便","4~7日で発送",
"2","m88161170092","レディース","靴","ブーツ","6500","¥ 6,500","目立った傷や汚れなし","ASAMI","https://www.mercari.com/jp/u/461939982/","送料込み(出品者負担)","ゆうゆうメルカリ便","2~3日で発送",
"2","m74730843500","メンズ","アクセサリー","ネックレス","10000","¥ 10,000","目立った傷や汚れなし","小枝 工業 プロフ必読/コメント逃げ✖︎","https://www.mercari.com/jp/u/811349186/","着払い(購入者負担)","未定","1~2日で発送",
"2","m74382926767","家電・スマホ・カメラ","生活家電","衣類乾燥機","12000","¥ 12,000","新品、未使用","あこ","https://www.mercari.com/jp/u/394591545/","送料込み(出品者負担)","ゆうパック","4~7日で発送",
"2","m34607344970","メンズ","時計","腕時計(アナログ)","10800","¥ 10,800","目立った傷や汚れなし","ねるね＠プロフ必読","https://www.mercari.com/jp/u/605184101/","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"2","m40201532511","ベビー・キッズ","ベビー服(男女兼用)  ~95cm","アウター","1200","¥ 1,200","目立った傷や汚れなし","ドラゴン","https://www.mercari.com/jp/u/281203506/","送料込み(出品者負担)","らくらくメルカリ便","1~2日で発送",
"2","m67031516939","レディース","トップス","Tシャツ/カットソー(半袖/袖なし)","4000","¥ 4,000","目立った傷や汚れなし","tbs","https://www.mercari.com/jp/u/680924096/","送料込み(出品者負担)","ゆうゆうメルカリ便","4~7日で発送",
"2","m93222309759","エンタメ・ホビー","トレーディングカード","遊戯王","320","¥ 320","やや傷や汚れあり","佐々木マックス","https://www.mercari.com/jp/u/616577191/","送料込み(出品者負担)","普通郵便(定形、定形外)","2~3日で発送",
"2","m72194963834","メンズ","パンツ","デニム/ジーンズ","8888","¥ 8,888","目立った傷や汚れなし","小枝 工業 プロフ必読/コメント逃げ✖︎","https://www.mercari.com/jp/u/811349186/","着払い(購入者負担)","未定","1~2日で発送",
"2","m84093242957","メンズ","ジャケット/アウター","トレンチコート","11800","¥ 11,800","目立った傷や汚れなし","こまさん。","https://www.mercari.com/jp/u/827764080/","送料込み(出品者負担)","未定","1~2日で発送",
"2","m28683932799","エンタメ・ホビー","トレーディングカード","マジック：ザ・ギャザリング","500","¥ 500","新品、未使用","オムライス","https://www.mercari.com/jp/u/353860647/","送料込み(出品者負担)","普通郵便(定形、定形外)","1~2日で発送",
"2","m98440537444","メンズ","トップス","パーカー","13500","¥ 13,500","目立った傷や汚れなし","ねるね＠プロフ必読","https://www.mercari.com/jp/u/605184101/","送料込み(出品者負担)","らくらくメルカリ便","2~3日で発送",
"2","m59691515336","エンタメ・ホビー","漫画","その他","499","¥ 499","未使用に近い","ぱっそ","https://www.mercari.com/jp/u/173564059/","送料込み(出品者負担)","ゆうゆうメルカリ便","2~3日で発送",
